    1.500000e+00    9.974950e-01    7.073611e-02
    1.550000e+00    9.997837e-01    2.079381e-02
    1.600000e+00    9.995735e-01   -2.919937e-02
    1.650000e+00    9.968650e-01   -7.912094e-02
    1.700000e+00    9.916647e-01   -1.288444e-01
    1.750000e+00    9.839859e-01   -1.782458e-01
    1.800000e+00    9.738476e-01   -2.272018e-01
    1.850000e+00    9.612752e-01   -2.755899e-01
    1.900000e+00    9.463001e-01   -3.232892e-01
    1.950000e+00    9.289597e-01   -3.701805e-01
    2.000000e+00    9.092974e-01   -4.161466e-01
    2.050000e+00    8.873624e-01   -4.610725e-01
    2.100000e+00    8.632094e-01   -5.048459e-01
    2.150000e+00    8.368988e-01   -5.473575e-01
    2.200000e+00    8.084964e-01   -5.885010e-01
    2.250000e+00    7.780732e-01   -6.281736e-01
    2.300000e+00    7.457052e-01   -6.662760e-01
    2.350000e+00    7.114734e-01   -7.027130e-01
    2.400000e+00    6.754632e-01   -7.373937e-01
    2.450000e+00    6.377647e-01   -7.702312e-01
    2.500000e+00    5.984721e-01   -8.011435e-01
    2.550000e+00    5.576837e-01   -8.300534e-01
    2.600000e+00    5.155014e-01   -8.568886e-01
    2.650000e+00    4.720305e-01   -8.815821e-01
    2.700000e+00    4.273799e-01   -9.040720e-01
    2.750000e+00    3.816610e-01   -9.243022e-01
    2.800000e+00    3.349881e-01   -9.422222e-01
    2.850000e+00    2.874780e-01   -9.577871e-01
    2.900000e+00    2.392493e-01   -9.709580e-01
    2.950000e+00    1.904226e-01   -9.817020e-01
    3.000000e+00    1.411200e-01   -9.899923e-01
    3.050000e+00    9.146464e-02   -9.958081e-01
    3.100000e+00    4.158066e-02   -9.991350e-01
    3.150000e+00   -8.407245e-03   -9.999645e-01
    3.200000e+00   -5.837414e-02   -9.982946e-01
    3.250000e+00   -1.081951e-01   -9.941295e-01
    3.300000e+00   -1.577457e-01   -9.874796e-01
    3.350000e+00   -2.069020e-01   -9.783615e-01
    3.400000e+00   -2.555411e-01   -9.667980e-01
    3.450000e+00   -3.035415e-01   -9.528181e-01
    3.500000e+00   -3.507832e-01   -9.364565e-01
    3.550000e+00   -3.971482e-01   -9.177544e-01
    3.600000e+00   -4.425204e-01   -8.967583e-01
    3.650000e+00   -4.867867e-01   -8.735208e-01
    3.700000e+00   -5.298361e-01   -8.480999e-01
    3.750000e+00   -5.715613e-01   -8.205592e-01
    3.800000e+00   -6.118579e-01   -7.909676e-01
    3.850000e+00   -6.506251e-01   -7.593989e-01
    3.900000e+00   -6.877662e-01   -7.259322e-01
    3.950000e+00   -7.231881e-01   -6.906510e-01
    4.000000e+00   -7.568025e-01   -6.536435e-01
    4.050000e+00   -7.885253e-01   -6.150023e-01
    4.100000e+00   -8.182771e-01   -5.748238e-01
    4.150000e+00   -8.459837e-01   -5.332087e-01
    4.200000e+00   -8.715758e-01   -4.902607e-01
    4.250000e+00   -8.949894e-01   -4.460874e-01
    4.300000e+00   -9.161659e-01   -4.007991e-01
    4.350000e+00   -9.350526e-01   -3.545090e-01
    4.400000e+00   -9.516021e-01   -3.073328e-01
    4.450000e+00   -9.657731e-01   -2.593885e-01
    4.500000e+00   -9.775301e-01   -2.107958e-01
    4.550000e+00   -9.868439e-01   -1.616762e-01
    4.600000e+00   -9.936910e-01   -1.121525e-01
    4.650000e+00   -9.980544e-01   -6.234851e-02
    4.700000e+00   -9.999233e-01   -1.238846e-02
    4.750000e+00   -9.992928e-01    3.760152e-02
    4.800000e+00   -9.961646e-01    8.749897e-02
    4.850000e+00   -9.905465e-01    1.371771e-01
    4.900000e+00   -9.824526e-01    1.865124e-01
    4.950000e+00   -9.719031e-01    2.353814e-01
    5.000000e+00   -9.589243e-01    2.836622e-01
    5.050000e+00   -9.435487e-01    3.312339e-01
    5.100000e+00   -9.258147e-01    3.779777e-01
    5.150000e+00   -9.057666e-01    4.237768e-01
    5.200000e+00   -8.834547e-01    4.685166e-01
    5.250000e+00   -8.589345e-01    5.120854e-01
    5.300000e+00   -8.322674e-01    5.543742e-01
    5.350000e+00   -8.035202e-01    5.952774e-01
    5.400000e+00   -7.727645e-01    6.346927e-01
    5.450000e+00   -7.400773e-01    6.725217e-01
    5.500000e+00   -7.055403e-01    7.086696e-01
    5.550000e+00   -6.692399e-01    7.430463e-01
    5.600000e+00   -6.312666e-01    7.755657e-01
    5.650000e+00   -5.917156e-01    8.061466e-01
    5.700000e+00   -5.506856e-01    8.347126e-01
    5.750000e+00   -5.082791e-01    8.611922e-01
    5.800000e+00   -4.646022e-01    8.855194e-01
    5.850000e+00   -4.197640e-01    9.076332e-01
    5.900000e+00   -3.738767e-01    9.274783e-01
    5.950000e+00   -3.270548e-01    9.450053e-01
    6.000000e+00   -2.794155e-01    9.601703e-01
    6.050000e+00   -2.310778e-01    9.729353e-01
    6.100000e+00   -1.821625e-01    9.832685e-01
    6.150000e+00   -1.327919e-01    9.911440e-01
    6.200000e+00   -8.308937e-02    9.965421e-01
    6.250000e+00   -3.317917e-02    9.994494e-01
    6.300000e+00    1.681395e-02    9.998585e-01
    6.350000e+00    6.676504e-02    9.977685e-01
    6.400000e+00    1.165492e-01    9.931845e-01
    6.450000e+00    1.660421e-01    9.861181e-01
    6.500000e+00    2.151200e-01    9.765868e-01
